ID,ResourceID,SlotDate,SlotTime,SlotLength,Owner,Slot-Baseball,Slot-Softball,Slot-TBall,Slot-Sluggers,Slot-AAA,Slot-Coast,Slot-Majors,Slot-Juniors,Slot-Seniors,WindowBB-Tball,WindowBB-Sluggers,WindowBB-AAA,WindowBB-Coast,WindowBB-Majors,WindowBB-Juniors,WindowBB-Seniors,WindowSB-Sluggers,WindowSB-AAA,WindowSB-Coast,WindowSB-Majors,WindowSB-Juniors,,
,AL,3/1/2010,16:30,2:00,,1,1,1,1,1,1,1,1,1,2/7/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,2/1/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,,
,RP,3/1/2010,16:30,2:00,,1,1,1,1,1,1,1,1,1,2/7/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,2/1/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,,
,WD,3/1/2010,16:30,2:00,,1,1,1,1,1,1,1,1,1,2/7/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,2/1/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,,
,HM,3/1/2010,16:30,2:00,,1,1,1,1,1,1,1,1,1,2/7/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,2/1/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,,
,BR,3/1/2010,16:30,2:00,,1,1,1,1,1,1,1,1,1,2/7/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,2/1/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,,
,ROCK,3/1/2010,16:30,2:00,,1,1,1,1,1,1,1,1,1,2/7/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,2/1/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,,
,AUD,3/1/2010,16:30,2:00,,1,1,1,1,1,1,1,1,1,2/7/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,2/1/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,,
,REL,3/1/2010,16:30,2:00,,1,1,1,1,1,1,1,1,1,2/7/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,2/1/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,,
,H1,3/1/2010,16:00,2:00,,1,0,0,0,1,1,1,0,0,,,2/5/2010,2/3/2010,2/1/2010,,,,2/5/2010,2/3/2010,2/1/2010,,,
,H2,3/1/2010,16:00,2:00,,1,0,0,0,1,1,1,0,0,,,2/5/2010,2/3/2010,2/1/2010,,,,2/5/2010,2/3/2010,2/1/2010,,,
,H3,3/1/2010,16:00,2:00,,1,0,0,0,1,1,1,0,0,,,2/5/2010,2/3/2010,2/1/2010,,,,2/5/2010,2/3/2010,2/1/2010,,,
,H4,3/1/2010,16:00,2:00,,0,1,0,1,1,1,1,1,1,,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,2/1/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,,
,H5,3/1/2010,16:00,1:30,,1,1,1,1,1,1,1,1,1,2/7/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,2/1/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,,
,H5,3/1/2010,17:30,1:30,,1,1,1,1,1,1,1,1,1,2/7/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,2/1/2010,2/7/2010,2/5/2010,2/3/2010,2/1/2010,2/1/2010,,
